County,State,CountyName,Affordability
01001,AL,Autauga County,1.189
01003,AL,Baldwin County,1.207
01005,AL,Barbour County,0.958
01007,AL,Bibb County,1.062
01009,AL,Blount County,1.071
01011,AL,Bullock County,0.669
01013,AL,Butler County,0.943
01015,AL,Calhoun County,1.098
01017,AL,Chambers County,0.937
01019,AL,Cherokee County,1.09
01021,AL,Chilton County,1.117
01023,AL,Choctaw County,1.058
01025,AL,Clarke County,1.019
01027,AL,Clay County,1.007
01029,AL,Cleburne County,1.183
01031,AL,Coffee County,1.203
01033,AL,Colbert County,1.046
01035,AL,Conecuh County,0.865
01037,AL,Coosa County,1.051
01039,AL,Covington County,1.071
01041,AL,Crenshaw County,1.121
01043,AL,Cullman County,1.101
01045,AL,Dale County,1.118
01047,AL,Dallas County,0.86
01049,AL,DeKalb County,1.02
01051,AL,Elmore County,1.23
01053,AL,Escambia County,0.93
01055,AL,Etowah County,1.105
01057,AL,Fayette County,1.033
01059,AL,Franklin County,0.992
01061,AL,Geneva County,1.006
01063,AL,Greene County,0.811
01065,AL,Hale County,0.988
01067,AL,Henry County,1.18
01069,AL,Houston County,1.168
01071,AL,Jackson County,1.041
01073,AL,Jefferson County,1.126
01075,AL,Lamar County,1.044
01077,AL,Lauderdale County,1.19
01079,AL,Lawrence County,1.105
01081,AL,Lee County,1.197
01083,AL,Limestone County,1.325
01085,AL,Lowndes County,0.771
01087,AL,Macon County,0.809
01089,AL,Madison County,1.384
01091,AL,Marengo County,1.102
01093,AL,Marion County,1.064
01095,AL,Marshall County,1.224
01097,AL,Mobile County,1.055
01099,AL,Monroe County,0.94
01101,AL,Montgomery County,1.07
01103,AL,Morgan County,1.202
01105,AL,Perry County,0.655
01107,AL,Pickens County,0.939
01109,AL,Pike County,1.089
01111,AL,Randolph County,1.044
01113,AL,Russell County,0.913
01115,AL,St. Clair County,1.11
01117,AL,Shelby County,1.407
01119,AL,Sumter County,0.739
01121,AL,Talladega County,1.115
01123,AL,Tallapoosa County,0.981
01125,AL,Tuscaloosa County,1.202
01127,AL,Walker County,1.096
01129,AL,Washington County,1.14
01131,AL,Wilcox County,0.711
01133,AL,Winston County,0.974
02013,AK,Aleutians East Borough,0.956
02016,AK,Aleutians West Census Area,1.254
02020,AK,Anchorage Municipality,1.318
02050,AK,Bethel Census Area,0.74
02060,AK,Bristol Bay Borough,1.228
02063,AK,Chugach Census Area,1.256
02066,AK,Copper River Census Area,1.271
02068,AK,Denali Borough,1.635
02070,AK,Dillingham Census Area,0.904
02090,AK,Fairbanks North Star Borough,1.121
02100,AK,Haines Borough,1.218
02105,AK,Hoonah-Angoon Census Area,0.952
02110,AK,Juneau City and Borough,1.266
02122,AK,Kenai Peninsula Borough,1.217
02130,AK,Ketchikan Gateway Borough,1.257
02150,AK,Kodiak Island Borough,1.132
02158,AK,Kusilvak Census Area,0.599
02164,AK,Lake and Peninsula Borough,0.911
02170,AK,Matanuska-Susitna Borough,1.211
02180,AK,Nome Census Area,0.833
02185,AK,North Slope Borough,1.07
02188,AK,Northwest Arctic Borough,0.888
02195,AK,Petersburg Borough,1.08
02198,AK,Prince of Wales-Hyder Census Area,0.975
02220,AK,Sitka City and Borough,1.268
02230,AK,Skagway Municipality,1.303
02240,AK,Southeast Fairbanks Census Area,0.97
02275,AK,Wrangell City and Borough,0.984
02282,AK,Yakutat City and Borough,0.958
02290,AK,Yukon-Koyukuk Census Area,0.822
04001,AZ,Apache County,0.626
04003,AZ,Cochise County,1.074
04005,AZ,Coconino County,1.003
04007,AZ,Gila County,0.958
04009,AZ,Graham County,1.023
04011,AZ,Greenlee County,1.157
04012,AZ,La Paz County,0.818
04013,AZ,Maricopa County,1.146
04015,AZ,Mohave County,0.859
04017,AZ,Navajo County,0.783
04019,AZ,Pima County,1.188
04021,AZ,Pinal County,1.023
04023,AZ,Santa Cruz County,0.992
04025,AZ,Yavapai County,0.949
04027,AZ,Yuma County,0.851
05001,AR,Arkansas County,1.232
05003,AR,Ashley County,1.023
05005,AR,Baxter County,1.01
05007,AR,Benton County,1.394
05009,AR,Boone County,1.13
05011,AR,Bradley County,1.015
05013,AR,Calhoun County,1.067
05015,AR,Carroll County,1.176
05017,AR,Chicot County,0.919
05019,AR,Clark County,1.124
05021,AR,Clay County,1.037
05023,AR,Cleburne County,1.061
05025,AR,Cleveland County,1.169
05027,AR,Columbia County,0.998
05029,AR,Conway County,1.056
05031,AR,Craighead County,1.157
05033,AR,Crawford County,1.056
05035,AR,Crittenden County,0.97
05037,AR,Cross County,1.057
05039,AR,Dallas County,1.216
05041,AR,Desha County,0.855
05043,AR,Drew County,1.073
05045,AR,Faulkner County,1.213
05047,AR,Franklin County,1.158
05049,AR,Fulton County,0.866
05051,AR,Garland County,1.076
05053,AR,Grant County,1.299
05055,AR,Greene County,1.079
05057,AR,Hempstead County,1.017
05059,AR,Hot Spring County,1.089
05061,AR,Howard County,0.975
05063,AR,Independence County,1.073
05065,AR,Izard County,0.976
05067,AR,Jackson County,1.003
05069,AR,Jefferson County,1.031
05071,AR,Johnson County,0.902
05073,AR,Lafayette County,0.984
05075,AR,Lawrence County,0.978
05077,AR,Lee County,0.877
05079,AR,Lincoln County,1.068
05081,AR,Little River County,1.221
05083,AR,Logan County,1.104
05085,AR,Lonoke County,1.249
05087,AR,Madison County,0.933
05089,AR,Marion County,0.909
05091,AR,Miller County,0.959
05093,AR,Mississippi County,1.101
05095,AR,Monroe County,1.185
05097,AR,Montgomery County,0.935
05099,AR,Nevada County,0.791
05101,AR,Newton County,1.1
05103,AR,Ouachita County,1.06
05105,AR,Perry County,1.075
05107,AR,Phillips County,0.886
05109,AR,Pike County,1.083
05111,AR,Poinsett County,0.947
05113,AR,Polk County,1.028
05115,AR,Pope County,1.088
05117,AR,Prairie County,1.297
05119,AR,Pulaski County,1.217
05121,AR,Randolph County,1.016
05123,AR,St. Francis County,0.841
05125,AR,Saline County,1.33
05127,AR,Scott County,1.047
05129,AR,Searcy County,0.878
05131,AR,Sebastian County,1.089
05133,AR,Sevier County,0.989
05135,AR,Sharp County,0.969
05137,AR,Stone County,0.866
05139,AR,Union County,1.077
05141,AR,Van Buren County,1.014
05143,AR,Washington County,1.209
05145,AR,White County,1.094
05147,AR,Woodruff County,1.091
05149,AR,Yell County,1.099
06001,CA,Alameda County,1.29
06003,CA,Alpine County,1.33
06005,CA,Amador County,1.137
06007,CA,Butte County,1.018
06009,CA,Calaveras County,1.019
06011,CA,Colusa County,1.04
06013,CA,Contra Costa County,1.199
06015,CA,Del Norte County,0.963
06017,CA,El Dorado County,1.23
06019,CA,Fresno County,1.004
06021,CA,Glenn County,0.998
06023,CA,Humboldt County,0.95
06025,CA,Imperial County,0.829
06027,CA,Inyo County,0.969
06029,CA,Kern County,0.957
06031,CA,Kings County,0.954
06033,CA,Lake County,0.943
06035,CA,Lassen County,0.858
06037,CA,Los Angeles County,0.958
06039,CA,Madera County,0.981
06041,CA,Marin County,1.359
06043,CA,Mariposa County,0.917
06045,CA,Mendocino County,0.932
06047,CA,Merced County,0.888
06049,CA,Modoc County,0.786
06051,CA,Mono County,1.012
06053,CA,Monterey County,0.848
06055,CA,Napa County,1.061
06057,CA,Nevada County,1.076
06059,CA,Orange County,1.106
06061,CA,Placer County,1.239
06063,CA,Plumas County,1.06
06065,CA,Riverside County,1.067
06067,CA,Sacramento County,1.065
06069,CA,San Benito County,1.06
06071,CA,San Bernardino County,1.011
06073,CA,San Diego County,1.044
06075,CA,San Francisco County,1.265
06077,CA,San Joaquin County,1.064
06079,CA,San Luis Obispo County,1.089
06081,CA,San Mateo County,1.224
06083,CA,Santa Barbara County,0.893
06085,CA,Santa Clara County,1.403
06087,CA,Santa Cruz County,0.975
06089,CA,Shasta County,1.002
06091,CA,Sierra County,0.831
06093,CA,Siskiyou County,0.864
06095,CA,Solano County,1.112
06097,CA,Sonoma County,1.073
06099,CA,Stanislaus County,1.044
06101,CA,Sutter County,1.025
06103,CA,Tehama County,0.926
06105,CA,Trinity County,0.779
06107,CA,Tulare County,0.915
06109,CA,Tuolumne County,1.098
06111,CA,Ventura County,1.034
06113,CA,Yolo County,1.124
06115,CA,Yuba County,0.969
08001,CO,Adams County,1.069
08003,CO,Alamosa County,0.893
08005,CO,Arapahoe County,1.225
08007,CO,Archuleta County,0.973
08009,CO,Baca County,0.99
08011,CO,Bent County,0.808
08013,CO,Boulder County,1.37
08014,CO,Broomfield County,1.528
08015,CO,Chaffee County,1.058
08017,CO,Cheyenne County,1.314
08019,CO,Clear Creek County,1.391
08021,CO,Conejos County,0.882
08023,CO,Costilla County,0.687
08025,CO,Crowley County,0.843
08027,CO,Custer County,0.974
08029,CO,Delta County,0.973
08031,CO,Denver County,1.185
08033,CO,Dolores County,1.292
08035,CO,Douglas County,1.529
08037,CO,Eagle County,1.148
08039,CO,Elbert County,1.483
08041,CO,El Paso County,1.119
08043,CO,Fremont County,1.013
08045,CO,Garfield County,1.15
08047,CO,Gilpin County,1.267
08049,CO,Grand County,1.197
08051,CO,Gunnison County,1.402
08053,CO,Hinsdale County,0.918
08055,CO,Huerfano County,0.944
08057,CO,Jackson County,0.698
08059,CO,Jefferson County,1.339
08061,CO,Kiowa County,0.874
08063,CO,Kit Carson County,0.986
08065,CO,Lake County,1.205
08067,CO,La Plata County,1.175
08069,CO,Larimer County,1.218
08071,CO,Las Animas County,0.926
08073,CO,Lincoln County,1.255
08075,CO,Logan County,1.1
08077,CO,Mesa County,1.16
